0,0.065472468
1,0.102704857
2,0.079907526
3,0.065187182
4,0.054611438
5,0.046596382
6,0.040309513
7,0.035255006
8,0.031113789
9,0.027669206
10,0.024768161
11,0.022299062
12,0.020178514
13,0.018342895
14,0.016742822
15,0.015339386
16,0.01410153
17,0.013004187
18,0.012026914
19,0.011152892
20,0.010368166
21,0.009661075
22,0.009021808
23,0.00844206
24,0.007914757
25,0.007433847
26,0.006994124
27,0.006591087
28,0.006220835
29,0.005879966
30,0.005565506
31,0.005274845
32,0.005005685
33,0.004755996
34,0.004523982
35,0.004308043
36,0.004106759
37,0.003918857
38,0.003743201
39,0.003578771
40,0.003424648
41,0.003280005
42,0.003144096
43,0.003016246
44,0.002895841
45,0.002782326
46,0.002675195
47,0.002573986
48,0.002478281
49,0.002387693
50,0.124484772
