		1-F				W			
j	R(km)	Rayleigh	normalized	aerosol	d(km)				
77	23,25	0,855224454	0,933000631	0,999158616	23,1	0,003836456	7,09883E-05		
78	23,55	0,858657703	0,936746109	0,999224081	23,4	0,003745477	6,5465E-05		
79	23,85	0,862009535	0,940402765	0,999284452	23,7	0,003656656	6,03714E-05		
80	24,15	0,865281881	0,943972706	0,999340126	24	0,003569941	5,56741E-05		
81	24,45	0,868476626	0,947457988	0,999391469	24,3	0,003485282	5,13423E-05		
82	24,75	0,871595609	0,950860619	0,999438816	24,6	0,003402631	4,73476E-05		
83	25,05	0,874640628	0,95418256	0,99948248	24,9	0,00332194	4,36636E-05		
84	25,35	0,877613437	0,957425723	0,999522746	25,2	0,003243163	4,02663E-05		
85	25,65	0,880515747	0,960591976	0,99955988	25,5	0,003166254	3,71334E-05		
86	25,95	0,883349232	0,963683144	0,999594124	25,8	0,003091168	3,42441E-05		
87	26,25	0,886115522	0,966701008	0,999625703	26,1	0,003017863	3,15797E-05		
88	26,55	0,888816211	0,969647305	0,999654826	26,4	0,002946297	2,91226E-05		
89	26,85	0,891452856	0,972523732	0,999681683	26,7	0,002876427	2,68567E-05		
90	27,15	0,894026974	0,975331947	0,99970645	27	0,002808215	2,47671E-05		
91	27,45	0,896540049	0,978073567	0,99972929	27,3	0,00274162	2,28401E-05		
92	27,75	0,898993529	0,980750172	0,999750353	27,6	0,002676605	2,1063E-05		
93	28,05	0,901388826	0,983363303	0,999769777	27,9	0,002613131	1,94241E-05		
94	28,35	0,90372732	0,985914465	0,99978769	28,2	0,002551162	1,79128E-05		
95	28,65	0,906010358	0,988405128	0,999804209	28,5	0,002490663	1,65191E-05		
96	28,95	0,908239256	0,990836727	0,999819443	28,8	0,002431599	1,52338E-05		
97	29,25	0,910415296	0,993210663	0,999833491	29,1	0,002373935	1,40485E-05		
98	29,55	0,912539734	0,995528302	0,999846447	29,4	0,002317639	1,29554E-05		
99	29,85	0,914613792	0,99779098	0,999858394	29,7	0,002262678	1,19474E-05		
100	30,15	0,916638666	1	0,999869412	30	0,00220902	1,10178E-05		
						1	0,999869412		
